First Hash,Second Hash,Commit Message,Contains Issue Reference
505826b469b16ab36693360da9e11fd13213421b,d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,"Refs #23919 -- Replaced super(ClassName, self) with super().",False
505826b469b16ab36693360da9e11fd13213421b,e4cf8c8420634d6f2dc8ce873246256ce635972d,Fixed #24301 -- Added PostgreSQL-specific aggregate functions,False
505826b469b16ab36693360da9e11fd13213421b,bc05547cd8c1dd511c6b6a6c873a1bc63417b111,Fixed #28658 -- Added DISTINCT handling to the Aggregate class.,False
505826b469b16ab36693360da9e11fd13213421b,96199e562dcc409ab4bdc2b2146fa7cf73c7c5fe,Fixed #26067 -- Added ordering support to ArrayAgg and StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,eb94e7ad6bab5da085890ec4238b7d58f48c3cf7,"[3.0.x] Added stub release notes for 3.0.3.

Backport of 69331bb851c34f05bc77e9fc24020fe6908b9cd5 from master",False
505826b469b16ab36693360da9e11fd13213421b,96199e562dcc409ab4bdc2b2146fa7cf73c7c5fe,Fixed #26067 -- Added ordering support to ArrayAgg and StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,bc05547cd8c1dd511c6b6a6c873a1bc63417b111,Fixed #28658 -- Added DISTINCT handling to the Aggregate class.,False
505826b469b16ab36693360da9e11fd13213421b,96199e562dcc409ab4bdc2b2146fa7cf73c7c5fe,Fixed #26067 -- Added ordering support to ArrayAgg and StringAgg.,False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,a64a61bf4a21f942828add0b7964f18cf777a5bb,"Fixed #8422: FilePathField now respects required=False.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10447 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,d82aaef8446c4188a27ba4347b75f0dffaa42f0a,"Fixed #7064: Made DemicmalField validation support max_digits equal to decimal_places.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@9387 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,88a2f53b858fedf46ceb84a9fe09558b31038eb7,"Split django.newforms into forms, fields, widgets, util. Also moved unit tests from docstrings to a standalone module in tests/regressiontests/forms, to save docstring memory overhead, keep code readable and fit our exisitng convention

git-svn-id: http://code.djangoproject.com/svn/django/trunk@3945 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,14b160957e2965669e241f4640dd42a0fc412ec4,"Fixed #8962 -- Consistently support format and input_format in the various (individual, combined, split) date and time form fields and widgets.

Many thanks to Tai Lee for doing all the work here.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@10115 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,a2ce7669d902cf32eeac9307b804b78ed4150fe5,"Fixed #3421 -- Added IP and localhost validation to newforms URLField. Thanks, SmileyChris.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@6152 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,a64a61bf4a21f942828add0b7964f18cf777a5bb,"Fixed #8422: FilePathField now respects required=False.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10447 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,d82aaef8446c4188a27ba4347b75f0dffaa42f0a,"Fixed #7064: Made DemicmalField validation support max_digits equal to decimal_places.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@9387 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,88a2f53b858fedf46ceb84a9fe09558b31038eb7,"Split django.newforms into forms, fields, widgets, util. Also moved unit tests from docstrings to a standalone module in tests/regressiontests/forms, to save docstring memory overhead, keep code readable and fit our exisitng convention

git-svn-id: http://code.djangoproject.com/svn/django/trunk@3945 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,14b160957e2965669e241f4640dd42a0fc412ec4,"Fixed #8962 -- Consistently support format and input_format in the various (individual, combined, split) date and time form fields and widgets.

Many thanks to Tai Lee for doing all the work here.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@10115 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,a2ce7669d902cf32eeac9307b804b78ed4150fe5,"Fixed #3421 -- Added IP and localhost validation to newforms URLField. Thanks, SmileyChris.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@6152 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,6590061a005b8772baee1a94d7799bcb58d9841d,"Fixed #9948 -- Corrected URLField validation to match RFC1035 (URL analog of #9890). Thanks to kratorius for the report and fix.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10574 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,48b459a83e40aa6dae588f114d68f54b95e860de,"Fixed #9890 -- Modified the regex validation for email addresses to match RFC822/1035. Thanks to ozgur for the report, and kratorius for the patch.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10573 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,6590061a005b8772baee1a94d7799bcb58d9841d,"Fixed #9948 -- Corrected URLField validation to match RFC1035 (URL analog of #9890). Thanks to kratorius for the report and fix.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10574 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
e3e992e18b368fcd56aabafc1b5bf80a6e11b495,48b459a83e40aa6dae588f114d68f54b95e860de,"Fixed #9890 -- Modified the regex validation for email addresses to match RFC822/1035. Thanks to ozgur for the report, and kratorius for the patch.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10573 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,914c72be2abb1c6dd860cb9279beaa66409ae1b2,Fixed #26058 -- Delegated os.path bits of FileField's filename generation to the Storage.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d725cc9734272f867d41f7236235c28b3931a1b2,"Fixed #2070: refactored Django's file upload capabilities.

A description of the new features can be found in the new [http://www.djangoproject.com/documentation/upload_handing/ upload handling documentation]; the executive summary is that Django will now happily handle uploads of large files without issues.

This changes the representation of uploaded files from dictionaries to bona fide objects; see BackwardsIncompatibleChanges for details.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@7814 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,36db4dd937ae11c5b687c5d2e5fa3c27e4140001,Fixed #28132 -- Made MultiPartParser ignore filenames with trailing slash.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,c347f78cc1b2a06958f692f0622deceac534dc6b,Fixed all E226 violations,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,b915b9f10f1110bf6b8468060ce9753ff78ffb07,"Refs #27753 -- Deprecated django.utils.text.unescape_entities().

The function was undocumented and only required for compatibility with
Python 2.

Code should use Python's html.unescape() that was added in Python 3.4.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d725cc9734272f867d41f7236235c28b3931a1b2,"Fixed #2070: refactored Django's file upload capabilities.

A description of the new features can be found in the new [http://www.djangoproject.com/documentation/upload_handing/ upload handling documentation]; the executive summary is that Django will now happily handle uploads of large files without issues.

This changes the representation of uploaded files from dictionaries to bona fide objects; see BackwardsIncompatibleChanges for details.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@7814 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,36db4dd937ae11c5b687c5d2e5fa3c27e4140001,Fixed #28132 -- Made MultiPartParser ignore filenames with trailing slash.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,c347f78cc1b2a06958f692f0622deceac534dc6b,Fixed all E226 violations,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,b915b9f10f1110bf6b8468060ce9753ff78ffb07,"Refs #27753 -- Deprecated django.utils.text.unescape_entities().

The function was undocumented and only required for compatibility with
Python 2.

Code should use Python's html.unescape() that was added in Python 3.4.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2820fd1be5dfccbf1216c3845fad8580502473e1,"[3.2.x] Fixed CVE-2021-28658 -- Fixed potential directory-traversal via uploaded files.

Thanks Claude Paroz for the initial patch.
Thanks Dennis Brinkrolf for the report.

Backport of d4d800ca1addc4141e03c5440a849bb64d1582cd from main.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,36db4dd937ae11c5b687c5d2e5fa3c27e4140001,Fixed #28132 -- Made MultiPartParser ignore filenames with trailing slash.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,0247c9b08f8da4a2d93b9cede6c615011552b55a,Split form's test_fields.py into different files.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2e8ff5f902c04fb9fefe3da783513899f0753176,"[3.2.x] Added stub release notes for Django 3.2.1.

Backport of df0a9e6d5ce00fc7890545d854dbea876bd07d9b from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2e8ff5f902c04fb9fefe3da783513899f0753176,"[3.2.x] Added stub release notes for Django 3.2.1.

Backport of df0a9e6d5ce00fc7890545d854dbea876bd07d9b from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,55da04488e0998df15d911528445a077e6fb4e0f,"[3.2.x] Corrected release number format in 3.2.1 release notes.

Backport of 3f2920ae1d91e67ebf677d407da528c04188384e from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2e8ff5f902c04fb9fefe3da783513899f0753176,"[3.2.x] Added stub release notes for Django 3.2.1.

Backport of df0a9e6d5ce00fc7890545d854dbea876bd07d9b from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,ed114e15106192b22ebb78ef5bf5bce72b419d13,"Imported Django from private SVN repository (created from r. 8825)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@3 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,60586dd7379b295b72d8af4e03423c286913b5e8,Fixed #26125 -- Fixed E731 flake warnings.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2c837233f5de7d5e309833e39782c7a208a03880,"Fixed #21574 -- Handle bytes consistently in utils.text.normalize_newlines.

All input is now coerced to text before being normalized.
This changes nothing under Python 2 but it allows bytes
to be passed to the function without a TypeError under Python3
(bytes are assumed to be utf-8 encoded text).

Thanks to trac user vajrasky for the report.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,a1c9c525330ae489c5ad124818ea42097b0d3b73,"Added django.utils.text.smart_split. Thanks, ckknight

git-svn-id: http://code.djangoproject.com/svn/django/trunk@3101 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,54e695331b07a572e0f37085725d23df69980628,"Fixed #20221 -- Allowed some functions that use mark_safe() to result in SafeText.

Thanks Baptiste Mispelon for the report.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,"Refs #23919 -- Replaced super(ClassName, self) with super().",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,eb214452c3b1dc399b629aabea926e27b5538c52,Fixed #21270 -- Fixed E701 pep8 warnings,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d693074d431c50e4801dd6bf52525ce1436358f0,"Fixed #20223 -- Added keep_lazy() as a replacement for allow_lazy().

Thanks to bmispelon and uruz for the initial patch.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,0ed7d155635da9f79d4dd67e4889087d3673c6da,Sorted imports with isort; refs #23860.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,11cd7388f77aa9d12ab6b57285c3801b237e241b,Fixed #20989 -- Removed useless explicit list comprehensions.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,c5ef65bcf324f4c90b53be90f4aec069a68e8c59,"[py3] Ported django.utils.encoding.

* Renamed smart_unicode to smart_text (but kept the old name under
  Python 2 for backwards compatibility).
* Renamed smart_str to smart_bytes.
* Re-introduced smart_str as an alias for smart_text under Python 3
  and smart_bytes under Python 2 (which is backwards compatible).
  Thus smart_str always returns a str objects.
* Used the new smart_str in a few places where both Python 2 and 3
  want a str.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,ed114e15106192b22ebb78ef5bf5bce72b419d13,"Imported Django from private SVN repository (created from r. 8825)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@3 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,60586dd7379b295b72d8af4e03423c286913b5e8,Fixed #26125 -- Fixed E731 flake warnings.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2c837233f5de7d5e309833e39782c7a208a03880,"Fixed #21574 -- Handle bytes consistently in utils.text.normalize_newlines.

All input is now coerced to text before being normalized.
This changes nothing under Python 2 but it allows bytes
to be passed to the function without a TypeError under Python3
(bytes are assumed to be utf-8 encoded text).

Thanks to trac user vajrasky for the report.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,a1c9c525330ae489c5ad124818ea42097b0d3b73,"Added django.utils.text.smart_split. Thanks, ckknight

git-svn-id: http://code.djangoproject.com/svn/django/trunk@3101 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,54e695331b07a572e0f37085725d23df69980628,"Fixed #20221 -- Allowed some functions that use mark_safe() to result in SafeText.

Thanks Baptiste Mispelon for the report.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,"Refs #23919 -- Replaced super(ClassName, self) with super().",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,eb214452c3b1dc399b629aabea926e27b5538c52,Fixed #21270 -- Fixed E701 pep8 warnings,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d693074d431c50e4801dd6bf52525ce1436358f0,"Fixed #20223 -- Added keep_lazy() as a replacement for allow_lazy().

Thanks to bmispelon and uruz for the initial patch.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,0ed7d155635da9f79d4dd67e4889087d3673c6da,Sorted imports with isort; refs #23860.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,11cd7388f77aa9d12ab6b57285c3801b237e241b,Fixed #20989 -- Removed useless explicit list comprehensions.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,c5ef65bcf324f4c90b53be90f4aec069a68e8c59,"[py3] Ported django.utils.encoding.

* Renamed smart_unicode to smart_text (but kept the old name under
  Python 2 for backwards compatibility).
* Renamed smart_str to smart_bytes.
* Re-introduced smart_str as an alias for smart_text under Python 3
  and smart_bytes under Python 2 (which is backwards compatible).
  Thus smart_str always returns a str objects.
* Used the new smart_str in a few places where both Python 2 and 3
  want a str.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,ed114e15106192b22ebb78ef5bf5bce72b419d13,"Imported Django from private SVN repository (created from r. 8825)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@3 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,301de774c21d055e9e5a7073e5bffdb52bc71079,"Refs #27795 -- Replaced many force_text() with str()

Thanks Tim Graham for the review.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,668bc4f7bef79c7177bfa5b7dabd1403e0d6fa30,"Fixed #10254: Changed the regex in get_valid_filename to allow unicode alphanumerics (thanks gulliver).  Also updated the file_uploads test for this case to check the name after saving the uploaded file. As it was the test ensured that files with unicode characters in their names could be uploaded, but it wasn't actually ensuring that the unicode characters were preserved through save.  


git-svn-id: http://code.djangoproject.com/svn/django/trunk@10388 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d911a64ce8bdb10e7704262837473215fcdb9cbe,"Fixed #6450 -- Improved the checking of errors when creating the directories for saved files. Thanks to henry@precheur.org for the report and patch, and vung for the excellent test case.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@8007 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,914c72be2abb1c6dd860cb9279beaa66409ae1b2,Fixed #26058 -- Delegated os.path bits of FileField's filename generation to the Storage.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2820fd1be5dfccbf1216c3845fad8580502473e1,"[3.2.x] Fixed CVE-2021-28658 -- Fixed potential directory-traversal via uploaded files.

Thanks Claude Paroz for the initial patch.
Thanks Dennis Brinkrolf for the report.

Backport of d4d800ca1addc4141e03c5440a849bb64d1582cd from main.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,36db4dd937ae11c5b687c5d2e5fa3c27e4140001,Fixed #28132 -- Made MultiPartParser ignore filenames with trailing slash.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,0247c9b08f8da4a2d93b9cede6c615011552b55a,Split form's test_fields.py into different files.,False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,55da04488e0998df15d911528445a077e6fb4e0f,"[3.2.x] Corrected release number format in 3.2.1 release notes.

Backport of 3f2920ae1d91e67ebf677d407da528c04188384e from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,2e8ff5f902c04fb9fefe3da783513899f0753176,"[3.2.x] Added stub release notes for Django 3.2.1.

Backport of df0a9e6d5ce00fc7890545d854dbea876bd07d9b from main",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,ed114e15106192b22ebb78ef5bf5bce72b419d13,"Imported Django from private SVN repository (created from r. 8825)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@3 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,301de774c21d055e9e5a7073e5bffdb52bc71079,"Refs #27795 -- Replaced many force_text() with str()

Thanks Tim Graham for the review.",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,668bc4f7bef79c7177bfa5b7dabd1403e0d6fa30,"Fixed #10254: Changed the regex in get_valid_filename to allow unicode alphanumerics (thanks gulliver).  Also updated the file_uploads test for this case to check the name after saving the uploaded file. As it was the test ensured that files with unicode characters in their names could be uploaded, but it wasn't actually ensuring that the unicode characters were preserved through save.  


git-svn-id: http://code.djangoproject.com/svn/django/trunk@10388 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
c98f446c188596d4ba6de71d1b77b4a6c5c2a007,d911a64ce8bdb10e7704262837473215fcdb9cbe,"Fixed #6450 -- Improved the checking of errors when creating the directories for saved files. Thanks to henry@precheur.org for the report and patch, and vung for the excellent test case.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@8007 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,68cc04887b3c5b7ce8f28eaae5de266db99ca9a6,Fixed #32866 -- Fixed trimming trailing punctuation from escaped string in urlize().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,23e886886249ebe8f80a48b0d25fbb5308eeb06f,Refs #34233 -- Used str.removeprefix()/removesuffix().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e567670b1abe61af4acfaa6a6a7e92a7acfa8b00,"Fixed #33195 -- Refactored urlize() based on a class.

This allows easier customization/",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,8d76443aba863b75ad3b1392ca7e1d59bad84dc4,Fixed #30399 -- Changed django.utils.html.escape()/urlize() to use html.escape()/unescape().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,a21ec12409a5b72d602cd03ee925b6ceb1cd5492,Fixed #27803 -- Kept safe status of lazy safe strings in conditional_escape,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,1e3cd5116367a15e2c9855dced062de885e1f0f0,Simplified django.utils.html.urlize().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,dec334cb66b3ee59cb82e1bb99a584aa0b9fbbd5,Fixed #26193 -- Made urlize() trim multiple trailing punctuation.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,fbb83fefd43a89d1a802d77dcc3a9c9ac15a5afa,Fixed typos in comments and docs.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,9c19aff7c7561e3a82978a272ecdaad40dda5c00,Refs #33476 -- Reformatted code with Black.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,15d10a5210378bba88c7dfa1f45a4d3528ddfc3f,"Fixed #11911 -- Made the urlize filter smarter with closing punctuation.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@17362 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,68cc04887b3c5b7ce8f28eaae5de266db99ca9a6,Fixed #32866 -- Fixed trimming trailing punctuation from escaped string in urlize().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,23e886886249ebe8f80a48b0d25fbb5308eeb06f,Refs #34233 -- Used str.removeprefix()/removesuffix().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e567670b1abe61af4acfaa6a6a7e92a7acfa8b00,"Fixed #33195 -- Refactored urlize() based on a class.

This allows easier customization/",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,8d76443aba863b75ad3b1392ca7e1d59bad84dc4,Fixed #30399 -- Changed django.utils.html.escape()/urlize() to use html.escape()/unescape().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,a21ec12409a5b72d602cd03ee925b6ceb1cd5492,Fixed #27803 -- Kept safe status of lazy safe strings in conditional_escape,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,1e3cd5116367a15e2c9855dced062de885e1f0f0,Simplified django.utils.html.urlize().,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,dec334cb66b3ee59cb82e1bb99a584aa0b9fbbd5,Fixed #26193 -- Made urlize() trim multiple trailing punctuation.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,fbb83fefd43a89d1a802d77dcc3a9c9ac15a5afa,Fixed typos in comments and docs.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,9c19aff7c7561e3a82978a272ecdaad40dda5c00,Refs #33476 -- Reformatted code with Black.,False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,15d10a5210378bba88c7dfa1f45a4d3528ddfc3f,"Fixed #11911 -- Made the urlize filter smarter with closing punctuation.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@17362 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,44aef996c8d723198e89ca834cb1d746e2e72d77,"[5.1.x] Fixed CVE-2024-38875 -- Mitigated potential DoS in urlize and urlizetrunc template filters.

Thank you to Elias Myllymäki for the report.

Co-authored-by: Sarah Boyce <42296566+sarahboyce@users.noreply.github.com>",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e0ba8af1b4e2a3a2ddc401d4abd1fd75a61079ce,"[5.1.x] Added stub release notes and release date for 5.1.1, 5.0.9, and 4.2.16.

Backport of 67efd42517af0faf24872df4295b39e98ce826af from main.",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e0ba8af1b4e2a3a2ddc401d4abd1fd75a61079ce,"[5.1.x] Added stub release notes and release date for 5.1.1, 5.0.9, and 4.2.16.

Backport of 67efd42517af0faf24872df4295b39e98ce826af from main.",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,44aef996c8d723198e89ca834cb1d746e2e72d77,"[5.1.x] Fixed CVE-2024-38875 -- Mitigated potential DoS in urlize and urlizetrunc template filters.

Thank you to Elias Myllymäki for the report.

Co-authored-by: Sarah Boyce <42296566+sarahboyce@users.noreply.github.com>",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e0ba8af1b4e2a3a2ddc401d4abd1fd75a61079ce,"[5.1.x] Added stub release notes and release date for 5.1.1, 5.0.9, and 4.2.16.

Backport of 67efd42517af0faf24872df4295b39e98ce826af from main.",False
022ab0a75c76ab2ea31dfcc5f2cf5501e378d397,e0ba8af1b4e2a3a2ddc401d4abd1fd75a61079ce,"[5.1.x] Added stub release notes and release date for 5.1.1, 5.0.9, and 4.2.16.

Backport of 67efd42517af0faf24872df4295b39e98ce826af from main.",False
d63e20942f3024f24cb8cd85a49461ba8a9b6736,00fda7f45db2425c1dcb5d927093ede45734d841,"Fixed #13283 -- Corrected CACHE_MIDDLEWARE_ANONYMOUS_ONLY's bad habit of setting Vary: Cookie on all responses and destroying cache efficiency. Thanks to natrius for the fix.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@15381 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False
